product_rk,product_name,effective_from_date,effective_to_date
1020663,Автокредит,2023-01-01,2999-12-31
1305403,Ипотека,2023-01-01,2999-12-31
1497825,Кредит наличными со страховкой,2023-01-01,2999-12-31
1498060,Кредит наличными,2023-01-01,2999-12-31
1519273,Кредит наличными со страховкой,2023-01-01,2999-12-31
1571873,Кредит наличными со страховкой,2023-01-01,2999-12-31
1894811,Ипотека,2023-01-01,2999-12-31
1318326,Кредит наличными со страховкой,2023-01-01,2999-12-31
1630746,Кредит наличными,2023-01-01,2999-12-31
1881077,Кредит наличными со страховкой,2023-01-01,2999-12-31
1025520,Ипотека,2023-01-01,2999-12-31
1847996,Кредит наличными,2023-01-01,2999-12-31
1772058,Ипотека,2023-01-01,2999-12-31
1357180,Кредит наличными,2023-01-01,2999-12-31
1613706,Автокредит,2023-01-01,2999-12-31
1439703,Автокредит,2023-01-01,2999-12-31
1754036,Автокредит,2023-01-01,2999-12-31
1624276,Ипотека,2023-01-01,2999-12-31
1660651,Кредит наличными со страховкой,2023-01-01,2999-12-31
1396710,Кредит наличными со страховкой,2023-01-01,2999-12-31
1422391,Автокредит,2023-01-01,2999-12-31
1862567,Кредит наличными со страховкой,2023-01-01,2999-12-31
1843044,Ипотека,2023-01-01,2999-12-31
1233113,Кредит наличными,2023-01-01,2999-12-31
1622355,Ипотека,2023-01-01,2999-12-31
1930436,Ипотека,2023-01-01,2999-12-31
1730556,Ипотека,2023-01-01,2999-12-31
1510255,Кредит наличными со страховкой,2023-01-01,2999-12-31
1851643,Кредит наличными со страховкой,2023-01-01,2999-12-31
1824480,Кредит наличными со страховкой,2023-01-01,2999-12-31
1251722,Ипотека,2023-01-01,2999-12-31
1295269,Автокредит,2023-01-01,2999-12-31
1576512,Кредит наличными со страховкой,2023-01-01,2999-12-31
1384275,Ипотека,2023-01-01,2999-12-31
1692433,Автокредит,2023-01-01,2999-12-31
1611536,Ипотека,2023-01-01,2999-12-31
1092684,Кредит наличными,2023-01-01,2999-12-31
1360658,Кредит наличными со страховкой,2023-01-01,2999-12-31
1543284,Автокредит,2023-01-01,2999-12-31
1090072,Ипотека,2023-01-01,2999-12-31
1845732,Ипотека,2023-01-01,2999-12-31
1556606,Автокредит,2023-01-01,2999-12-31
1960425,Кредит наличными со страховкой,2023-01-01,2999-12-31
1684525,Автокредит,2023-01-01,2999-12-31
1187030,Кредит наличными,2023-01-01,2999-12-31
1105709,Ипотека,2023-01-01,2999-12-31
1336212,Автокредит,2023-01-01,2999-12-31
1212871,Кредит наличными,2023-01-01,2999-12-31
1896419,Ипотека,2023-01-01,2999-12-31
1685934,Автокредит,2023-01-01,2999-12-31
1462969,Автокредит,2023-01-01,2999-12-31
1897611,Ипотека,2023-01-01,2999-12-31
1014326,Ипотека,2023-01-01,2999-12-31
1249387,Ипотека,2023-01-01,2999-12-31
1090279,Кредит наличными со страховкой,2023-01-01,2999-12-31
1808405,Ипотека,2023-01-01,2999-12-31
1181907,Автокредит,2023-01-01,2999-12-31
1448931,Ипотека,2023-01-01,2999-12-31
1003337,Кредит наличными,2023-01-01,2999-12-31
1835894,Кредит наличными,2023-01-01,2999-12-31
1389050,Ипотека,2023-01-01,2999-12-31
1405882,Автокредит,2023-01-01,2999-12-31
1795063,Кредит наличными,2023-01-01,2999-12-31
1302853,Автокредит,2023-01-01,2999-12-31
1454300,Кредит наличными со страховкой,2023-01-01,2999-12-31
1441936,Автокредит,2023-01-01,2999-12-31
1650593,Кредит наличными со страховкой,2023-01-01,2999-12-31
1807479,Ипотека,2023-01-01,2999-12-31
1685243,Автокредит,2023-01-01,2999-12-31
1609811,Кредит наличными со страховкой,2023-01-01,2999-12-31
1619278,Кредит наличными,2023-01-01,2999-12-31
1442691,Ипотека,2023-01-01,2999-12-31
1855575,Ипотека,2023-01-01,2999-12-31
1156538,Кредит наличными со страховкой,2023-01-01,2999-12-31
1548209,Ипотека,2023-01-01,2999-12-31
1220059,Кредит наличными со страховкой,2023-01-01,2999-12-31
1219383,Автокредит,2023-01-01,2999-12-31
1220747,Кредит наличными,2023-01-01,2999-12-31
1369473,Кредит наличными со страховкой,2023-01-01,2999-12-31
1304567,Автокредит,2023-01-01,2999-12-31
1231622,Кредит наличными,2023-01-01,2999-12-31
1324385,Автокредит,2023-01-01,2999-12-31
1337979,Ипотека,2023-01-01,2999-12-31
1725398,Кредит наличными со страховкой,2023-01-01,2999-12-31
1136222,Кредит наличными со страховкой,2023-01-01,2999-12-31
1408016,Кредит наличными со страховкой,2023-01-01,2999-12-31
1457614,Автокредит,2023-01-01,2999-12-31
1889479,Кредит наличными со страховкой,2023-01-01,2999-12-31
1003754,Кредит наличными,2023-01-01,2999-12-31
1274938,Кредит наличными,2023-01-01,2999-12-31
1576396,Ипотека,2023-01-01,2999-12-31
1098456,Кредит наличными со страховкой,2023-01-01,2999-12-31
1607713,Автокредит,2023-01-01,2999-12-31
1904767,Кредит наличными,2023-01-01,2999-12-31
1227605,Автокредит,2023-01-01,2999-12-31
1527154,Ипотека,2023-01-01,2999-12-31
1377876,Автокредит,2023-01-01,2999-12-31
1055121,Кредит наличными со страховкой,2023-01-01,2999-12-31
1546972,Автокредит,2023-01-01,2999-12-31
1645420,Ипотека,2023-01-01,2999-12-31
1386677,Кредит наличными,2023-01-01,2999-12-31
1732189,Кредит наличными со страховкой,2023-01-01,2999-12-31
1040074,Кредит наличными,2023-01-01,2999-12-31
1055807,Ипотека,2023-01-01,2999-12-31
1103523,Кредит наличными,2023-01-01,2999-12-31
1759501,Ипотека,2023-01-01,2999-12-31
1636311,Ипотека,2023-01-01,2999-12-31
1299873,Кредит наличными со страховкой,2023-01-01,2999-12-31
1856890,Автокредит,2023-01-01,2999-12-31
1745721,Автокредит,2023-01-01,2999-12-31
1090721,Кредит наличными,2023-01-01,2999-12-31
1354778,Автокредит,2023-01-01,2999-12-31
1522974,Автокредит,2023-01-01,2999-12-31
1307361,Автокредит,2023-01-01,2999-12-31
1672806,Кредит наличными,2023-01-01,2999-12-31
1023947,Автокредит,2023-01-01,2999-12-31
1678306,Автокредит,2023-01-01,2999-12-31
1345573,Ипотека,2023-01-01,2999-12-31
1209152,Автокредит,2023-01-01,2999-12-31
1079716,Автокредит,2023-01-01,2999-12-31
1060428,Кредит наличными,2023-01-01,2999-12-31
1075953,Кредит наличными со страховкой,2023-01-01,2999-12-31
1877453,Ипотека,2023-01-01,2999-12-31
1241068,Кредит наличными,2023-01-01,2999-12-31
1526436,Кредит наличными со страховкой,2023-01-01,2999-12-31
1199068,Кредит наличными со страховкой,2023-01-01,2999-12-31
1683714,Кредит наличными со страховкой,2023-01-01,2999-12-31
1029675,Кредит наличными со страховкой,2023-01-01,2999-12-31
1018800,Автокредит,2023-01-01,2999-12-31
1302039,Автокредит,2023-01-01,2999-12-31
1543812,Ипотека,2023-01-01,2999-12-31
1313882,Кредит наличными,2023-01-01,2999-12-31
1088196,Автокредит,2023-01-01,2999-12-31
1261502,Кредит наличными со страховкой,2023-01-01,2999-12-31
1252286,Ипотека,2023-01-01,2999-12-31
1553962,Кредит наличными,2023-01-01,2999-12-31
1933735,Автокредит,2023-01-01,2999-12-31
1874510,Кредит наличными,2023-01-01,2999-12-31
1112054,Ипотека,2023-01-01,2999-12-31
1807567,Кредит наличными,2023-01-01,2999-12-31
1241845,Кредит наличными со страховкой,2023-01-01,2999-12-31
1176710,Кредит наличными,2023-01-01,2999-12-31
1154118,Кредит наличными со страховкой,2023-01-01,2999-12-31
1280205,Автокредит,2023-01-01,2999-12-31
1699334,Кредит наличными со страховкой,2023-01-01,2999-12-31
1523803,Ипотека,2023-01-01,2999-12-31
1127427,Кредит наличными со страховкой,2023-01-01,2999-12-31
1555059,Ипотека,2023-01-01,2999-12-31
1497144,Кредит наличными со страховкой,2023-01-01,2999-12-31
1111172,Автокредит,2023-01-01,2999-12-31
1017687,Автокредит,2023-01-01,2999-12-31
1240775,Кредит наличными со страховкой,2023-01-01,2999-12-31
1922280,Автокредит,2023-01-01,2999-12-31
1444182,Кредит наличными со страховкой,2023-01-01,2999-12-31
1705405,Ипотека,2023-01-01,2999-12-31
1350968,Кредит наличными,2023-01-01,2999-12-31
1013728,Кредит наличными,2023-01-01,2999-12-31
1839258,Кредит наличными со страховкой,2023-01-01,2999-12-31
1548268,Кредит наличными,2023-01-01,2999-12-31
1014210,Кредит наличными,2023-01-01,2999-12-31
1571767,Автокредит,2023-01-01,2999-12-31
1543824,Автокредит,2023-01-01,2999-12-31
1092342,Автокредит,2023-01-01,2999-12-31
1377668,Кредит наличными,2023-01-01,2999-12-31
1982797,Ипотека,2023-01-01,2999-12-31
1860320,Ипотека,2023-01-01,2999-12-31
1818074,Ипотека,2023-01-01,2999-12-31
1645498,Ипотека,2023-01-01,2999-12-31
1487043,Автокредит,2023-01-01,2999-12-31
1567286,Ипотека,2023-01-01,2999-12-31
1627377,Ипотека,2023-01-01,2999-12-31
1853160,Ипотека,2023-01-01,2999-12-31
1127037,Ипотека,2023-01-01,2999-12-31
1445740,Автокредит,2023-01-01,2999-12-31
1553220,Кредит наличными со страховкой,2023-01-01,2999-12-31
1206086,Автокредит,2023-01-01,2999-12-31
1413518,Автокредит,2023-01-01,2999-12-31
1207456,Автокредит,2023-01-01,2999-12-31
1606912,Кредит наличными со страховкой,2023-01-01,2999-12-31
1298898,Ипотека,2023-01-01,2999-12-31
1746110,Кредит наличными,2023-01-01,2999-12-31
1773892,Кредит наличными,2023-01-01,2999-12-31
1958481,Автокредит,2023-01-01,2999-12-31
1504781,Кредит наличными,2023-01-01,2999-12-31
1345341,Кредит наличными со страховкой,2023-01-01,2999-12-31
1269619,Автокредит,2023-01-01,2999-12-31
1214347,Кредит наличными со страховкой,2023-01-01,2999-12-31
1650370,Кредит наличными,2023-01-01,2999-12-31
1922634,Автокредит,2023-01-01,2999-12-31
1793511,Кредит наличными со страховкой,2023-01-01,2999-12-31
1051991,Кредит наличными со страховкой,2023-01-01,2999-12-31
1080754,Ипотека,2023-01-01,2999-12-31
1682856,Ипотека,2023-01-01,2999-12-31
1827658,Ипотека,2023-01-01,2999-12-31
1100545,Автокредит,2023-01-01,2999-12-31
1625090,Автокредит,2023-01-01,2999-12-31
1280497,Кредит наличными со страховкой,2023-01-01,2999-12-31
1807482,Кредит наличными,2023-01-01,2999-12-31
1094622,Кредит наличными со страховкой,2023-01-01,2999-12-31
1142065,Кредит наличными,2023-01-01,2999-12-31
1839713,Кредит наличными со страховкой,2023-01-01,2999-12-31
1521823,Автокредит,2023-01-01,2999-12-31
1489556,Кредит наличными со страховкой,2023-01-01,2999-12-31
1778829,Кредит наличными со страховкой,2023-01-01,2999-12-31
1380989,Кредит наличными,2023-01-01,2999-12-31
1960166,Кредит наличными со страховкой,2023-01-01,2999-12-31
1325637,Ипотека,2023-01-01,2999-12-31
1179807,Кредит наличными со страховкой,2023-01-01,2999-12-31
1467710,Ипотека,2023-01-01,2999-12-31
1016361,Ипотека,2023-01-01,2999-12-31
1813137,Кредит наличными,2023-01-01,2999-12-31
1605467,Кредит наличными,2023-01-01,2999-12-31
1121438,Автокредит,2023-01-01,2999-12-31
1527932,Кредит наличными со страховкой,2023-01-01,2999-12-31
1971551,Ипотека,2023-01-01,2999-12-31
1929062,Ипотека,2023-01-01,2999-12-31
1312750,Кредит наличными со страховкой,2023-01-01,2999-12-31
1637696,Автокредит,2023-01-01,2999-12-31
1503740,Ипотека,2023-01-01,2999-12-31
1769938,Ипотека,2023-01-01,2999-12-31
1307815,Кредит наличными со страховкой,2023-01-01,2999-12-31
1678816,Ипотека,2023-01-01,2999-12-31
1768679,Кредит наличными со страховкой,2023-01-01,2999-12-31
1037866,Ипотека,2023-01-01,2999-12-31
1766553,Кредит наличными со страховкой,2023-01-01,2999-12-31
1924118,Автокредит,2023-01-01,2999-12-31
1320934,Автокредит,2023-01-01,2999-12-31
1558606,Ипотека,2023-01-01,2999-12-31
1042079,Ипотека,2023-01-01,2999-12-31
1228374,Кредит наличными со страховкой,2023-01-01,2999-12-31
1237660,Кредит наличными со страховкой,2023-01-01,2999-12-31
1244817,Автокредит,2023-01-01,2999-12-31
1839214,Кредит наличными со страховкой,2023-01-01,2999-12-31
1249782,Автокредит,2023-01-01,2999-12-31
1867061,Кредит наличными со страховкой,2023-01-01,2999-12-31
1910555,Кредит наличными со страховкой,2023-01-01,2999-12-31
1528135,Кредит наличными,2023-01-01,2999-12-31
1829162,Автокредит,2023-01-01,2999-12-31
1686798,Кредит наличными со страховкой,2023-01-01,2999-12-31
1645022,Ипотека,2023-01-01,2999-12-31
1158779,Автокредит,2023-01-01,2999-12-31
1884511,Кредит наличными со страховкой,2023-01-01,2999-12-31
1850779,Кредит наличными со страховкой,2023-01-01,2999-12-31
1638181,Ипотека,2023-01-01,2999-12-31
1711565,Автокредит,2023-01-01,2999-12-31
1191956,Кредит наличными со страховкой,2023-01-01,2999-12-31
1508600,Ипотека,2023-01-01,2999-12-31
1264886,Автокредит,2023-01-01,2999-12-31
1665075,Автокредит,2023-01-01,2999-12-31
1530830,Автокредит,2023-01-01,2999-12-31
1120320,Кредит наличными со страховкой,2023-01-01,2999-12-31
1793995,Ипотека,2023-01-01,2999-12-31
1606692,Ипотека,2023-01-01,2999-12-31
1418293,Ипотека,2023-01-01,2999-12-31
1835853,Кредит наличными со страховкой,2023-01-01,2999-12-31
1982060,Ипотека,2023-01-01,2999-12-31
1973415,Кредит наличными,2023-01-01,2999-12-31
1782847,Кредит наличными,2023-01-01,2999-12-31
1676225,Ипотека,2023-01-01,2999-12-31
1813295,Автокредит,2023-01-01,2999-12-31
1975970,Автокредит,2023-01-01,2999-12-31
1498168,Ипотека,2023-01-01,2999-12-31
1456747,Кредит наличными,2023-01-01,2999-12-31
1542918,Кредит наличными,2023-01-01,2999-12-31
1906564,Кредит наличными,2023-01-01,2999-12-31
1555562,Кредит наличными со страховкой,2023-01-01,2999-12-31
1521334,Ипотека,2023-01-01,2999-12-31
1342369,Ипотека,2023-01-01,2999-12-31
1574682,Автокредит,2023-01-01,2999-12-31
1301700,Ипотека,2023-01-01,2999-12-31
1731668,Ипотека,2023-01-01,2999-12-31
1418587,Автокредит,2023-01-01,2999-12-31
1024482,Кредит наличными,2023-01-01,2999-12-31
1586893,Автокредит,2023-01-01,2999-12-31
1748781,Ипотека,2023-01-01,2999-12-31
1533576,Кредит наличными,2023-01-01,2999-12-31
1328770,Ипотека,2023-01-01,2999-12-31
1704804,Ипотека,2023-01-01,2999-12-31
1351047,Автокредит,2023-01-01,2999-12-31
1701530,Кредит наличными,2023-01-01,2999-12-31
1670228,Кредит наличными со страховкой,2023-01-01,2999-12-31
1656027,Кредит наличными со страховкой,2023-01-01,2999-12-31
1037896,Кредит наличными,2023-01-01,2999-12-31
1342124,Кредит наличными,2023-01-01,2999-12-31
1072659,Кредит наличными со страховкой,2023-01-01,2999-12-31
1610212,Ипотека,2023-01-01,2999-12-31
1159193,Ипотека,2023-01-01,2999-12-31
1885482,Кредит наличными со страховкой,2023-01-01,2999-12-31
1137173,Кредит наличными,2023-01-01,2999-12-31
1355461,Ипотека,2023-01-01,2999-12-31
1564658,Ипотека,2023-01-01,2999-12-31
1137535,Ипотека,2023-01-01,2999-12-31
1157852,Ипотека,2023-01-01,2999-12-31
1732445,Кредит наличными,2023-01-01,2999-12-31
1121061,Автокредит,2023-01-01,2999-12-31
1039122,Кредит наличными,2023-01-01,2999-12-31
1834889,Кредит наличными со страховкой,2023-01-01,2999-12-31
1905024,Кредит наличными со страховкой,2023-01-01,2999-12-31
1267771,Кредит наличными,2023-01-01,2999-12-31
1488886,Автокредит,2023-01-01,2999-12-31
1899660,Ипотека,2023-01-01,2999-12-31
1978741,Кредит наличными со страховкой,2023-01-01,2999-12-31
1057426,Ипотека,2023-01-01,2999-12-31
1857472,Кредит наличными,2023-01-01,2999-12-31
1586458,Кредит наличными со страховкой,2023-01-01,2999-12-31
1806076,Автокредит,2023-01-01,2999-12-31
1672327,Кредит наличными со страховкой,2023-01-01,2999-12-31
1819771,Автокредит,2023-01-01,2999-12-31
1622340,Кредит наличными,2023-01-01,2999-12-31
1313298,Кредит наличными со страховкой,2023-01-01,2999-12-31
1427397,Кредит наличными со страховкой,2023-01-01,2999-12-31
1351339,Ипотека,2023-01-01,2999-12-31
1299655,Автокредит,2023-01-01,2999-12-31
1155614,Автокредит,2023-01-01,2999-12-31
1981404,Ипотека,2023-01-01,2999-12-31
1187948,Автокредит,2023-01-01,2999-12-31
1010741,Кредит наличными со страховкой,2023-01-01,2999-12-31
1384814,Автокредит,2023-01-01,2999-12-31
1053151,Кредит наличными со страховкой,2023-01-01,2999-12-31
1792884,Ипотека,2023-01-01,2999-12-31
1726981,Кредит наличными со страховкой,2023-01-01,2999-12-31
1770591,Кредит наличными,2023-01-01,2999-12-31
1348945,Кредит наличными со страховкой,2023-01-01,2999-12-31
1433444,Автокредит,2023-01-01,2999-12-31
1261477,Кредит наличными со страховкой,2023-01-01,2999-12-31
1550231,Кредит наличными со страховкой,2023-01-01,2999-12-31
1305331,Автокредит,2023-01-01,2999-12-31
1574794,Кредит наличными,2023-01-01,2999-12-31
1410330,Ипотека,2023-01-01,2999-12-31
1926071,Кредит наличными,2023-01-01,2999-12-31
1705358,Автокредит,2023-01-01,2999-12-31
1876402,Кредит наличными,2023-01-01,2999-12-31
1036991,Ипотека,2023-01-01,2999-12-31
1791267,Ипотека,2023-01-01,2999-12-31
1524437,Ипотека,2023-01-01,2999-12-31
1447552,Ипотека,2023-01-01,2999-12-31
1663436,Автокредит,2023-01-01,2999-12-31
1467387,Кредит наличными,2023-01-01,2999-12-31
1157640,Кредит наличными,2023-01-01,2999-12-31
1288159,Автокредит,2023-01-01,2999-12-31
1720753,Кредит наличными со страховкой,2023-01-01,2999-12-31
1294511,Кредит наличными со страховкой,2023-01-01,2999-12-31
1895812,Автокредит,2023-01-01,2999-12-31
1061423,Ипотека,2023-01-01,2999-12-31
1636066,Ипотека,2023-01-01,2999-12-31
1349710,Кредит наличными,2023-01-01,2999-12-31
1070171,Автокредит,2023-01-01,2999-12-31
1271047,Кредит наличными,2023-01-01,2999-12-31
1455271,Кредит наличными,2023-01-01,2999-12-31
1107887,Ипотека,2023-01-01,2999-12-31
1873318,Автокредит,2023-01-01,2999-12-31
1892166,Кредит наличными со страховкой,2023-01-01,2999-12-31
1001370,Кредит наличными со страховкой,2023-01-01,2999-12-31
1109047,Кредит наличными,2023-01-01,2999-12-31
1785805,Кредит наличными со страховкой,2023-01-01,2999-12-31
1711005,Кредит наличными,2023-01-01,2999-12-31
1331248,Ипотека,2023-01-01,2999-12-31
1164349,Кредит наличными со страховкой,2023-01-01,2999-12-31
1394373,Кредит наличными,2023-01-01,2999-12-31
1005292,Ипотека,2023-01-01,2999-12-31
1373442,Автокредит,2023-01-01,2999-12-31
1014966,Кредит наличными со страховкой,2023-01-01,2999-12-31
1329443,Ипотека,2023-01-01,2999-12-31
1637672,Кредит наличными,2023-01-01,2999-12-31
1941046,Кредит наличными,2023-01-01,2999-12-31
1721329,Кредит наличными со страховкой,2023-01-01,2999-12-31
1499950,Кредит наличными со страховкой,2023-01-01,2999-12-31
1850285,Кредит наличными,2023-01-01,2999-12-31
1939418,Кредит наличными,2023-01-01,2999-12-31
1610159,Автокредит,2023-01-01,2999-12-31
1251694,Кредит наличными,2023-01-01,2999-12-31
1594462,Кредит наличными со страховкой,2023-01-01,2999-12-31
1192076,Кредит наличными со страховкой,2023-01-01,2999-12-31
1990170,Автокредит,2023-01-01,2999-12-31
1521757,Кредит наличными со страховкой,2023-01-01,2999-12-31
1440095,Кредит наличными,2023-01-01,2999-12-31
1387278,Автокредит,2023-01-01,2999-12-31
1546789,Ипотека,2023-01-01,2999-12-31
1319991,Ипотека,2023-01-01,2999-12-31
1061968,Кредит наличными,2023-01-01,2999-12-31
1973888,Кредит наличными со страховкой,2023-01-01,2999-12-31
1991380,Кредит наличными,2023-01-01,2999-12-31
1434724,Автокредит,2023-01-01,2999-12-31
1274283,Кредит наличными,2023-01-01,2999-12-31
1596787,Кредит наличными со страховкой,2023-01-01,2999-12-31
1056350,Кредит наличными со страховкой,2023-01-01,2999-12-31
1798541,Кредит наличными со страховкой,2023-01-01,2999-12-31
1355983,Ипотека,2023-01-01,2999-12-31
1008828,Автокредит,2023-01-01,2999-12-31
1945529,Ипотека,2023-01-01,2999-12-31
1785555,Автокредит,2023-01-01,2999-12-31
1399824,Автокредит,2023-01-01,2999-12-31
1674093,Кредит наличными,2023-01-01,2999-12-31
1124973,Кредит наличными,2023-01-01,2999-12-31
1526347,Автокредит,2023-01-01,2999-12-31
1524755,Автокредит,2023-01-01,2999-12-31
1456051,Ипотека,2023-01-01,2999-12-31
1365102,Кредит наличными,2023-01-01,2999-12-31
1380840,Автокредит,2023-01-01,2999-12-31
1141627,Кредит наличными со страховкой,2023-01-01,2999-12-31
1579011,Ипотека,2023-01-01,2999-12-31
1136191,Кредит наличными со страховкой,2023-01-01,2999-12-31
1771765,Ипотека,2023-01-01,2999-12-31
1184522,Автокредит,2023-01-01,2999-12-31
1655281,Кредит наличными со страховкой,2023-01-01,2999-12-31
1228365,Кредит наличными,2023-01-01,2999-12-31
1075004,Автокредит,2023-01-01,2999-12-31
1495532,Кредит наличными,2023-01-01,2999-12-31
1084210,Автокредит,2023-01-01,2999-12-31
1149273,Ипотека,2023-01-01,2999-12-31
1765646,Автокредит,2023-01-01,2999-12-31
1804037,Ипотека,2023-01-01,2999-12-31
1760650,Автокредит,2023-01-01,2999-12-31
1143894,Кредит наличными,2023-01-01,2999-12-31
1016886,Кредит наличными,2023-01-01,2999-12-31
1608290,Ипотека,2023-01-01,2999-12-31
1010406,Автокредит,2023-01-01,2999-12-31
1120046,Ипотека,2023-01-01,2999-12-31
1209332,Кредит наличными,2023-01-01,2999-12-31
1106650,Ипотека,2023-01-01,2999-12-31
1160441,Кредит наличными,2023-01-01,2999-12-31
1791053,Кредит наличными со страховкой,2023-01-01,2999-12-31
1214309,Ипотека,2023-01-01,2999-12-31
1800000,Ипотека,2023-01-01,2999-12-31
1321659,Кредит наличными со страховкой,2023-01-01,2999-12-31
1414292,Кредит наличными,2023-01-01,2999-12-31
1707723,Кредит наличными со страховкой,2023-01-01,2999-12-31
1125986,Ипотека,2023-01-01,2999-12-31
1809411,Кредит наличными со страховкой,2023-01-01,2999-12-31
1370598,Кредит наличными,2023-01-01,2999-12-31
1655375,Кредит наличными со страховкой,2023-01-01,2999-12-31
1656830,Ипотека,2023-01-01,2999-12-31
1051993,Ипотека,2023-01-01,2999-12-31
1126783,Ипотека,2023-01-01,2999-12-31
1418411,Кредит наличными со страховкой,2023-01-01,2999-12-31
1017082,Кредит наличными со страховкой,2023-01-01,2999-12-31
1810886,Автокредит,2023-01-01,2999-12-31
1304052,Кредит наличными,2023-01-01,2999-12-31
1033099,Ипотека,2023-01-01,2999-12-31
1708330,Ипотека,2023-01-01,2999-12-31
1318092,Ипотека,2023-01-01,2999-12-31
1084870,Автокредит,2023-01-01,2999-12-31
1818635,Кредит наличными со страховкой,2023-01-01,2999-12-31
1327291,Автокредит,2023-01-01,2999-12-31
1230104,Кредит наличными со страховкой,2023-01-01,2999-12-31
1191111,Кредит наличными,2023-01-01,2999-12-31
1421175,Кредит наличными,2023-01-01,2999-12-31
1134112,Кредит наличными со страховкой,2023-01-01,2999-12-31
1076284,Ипотека,2023-01-01,2999-12-31
1856036,Автокредит,2023-01-01,2999-12-31
1357351,Автокредит,2023-01-01,2999-12-31
1449037,Автокредит,2023-01-01,2999-12-31
1334931,Ипотека,2023-01-01,2999-12-31
1696387,Ипотека,2023-01-01,2999-12-31
1766913,Автокредит,2023-01-01,2999-12-31
1039476,Ипотека,2023-01-01,2999-12-31
1115887,Кредит наличными,2023-01-01,2999-12-31
1112394,Кредит наличными,2023-01-01,2999-12-31
1700158,Кредит наличными со страховкой,2023-01-01,2999-12-31
1849059,Кредит наличными,2023-01-01,2999-12-31
1938821,Ипотека,2023-01-01,2999-12-31
1488840,Кредит наличными,2023-01-01,2999-12-31
1779278,Автокредит,2023-01-01,2999-12-31
1926376,Автокредит,2023-01-01,2999-12-31
1255025,Автокредит,2023-01-01,2999-12-31
1973069,Автокредит,2023-01-01,2999-12-31
1300035,Кредит наличными,2023-01-01,2999-12-31
1297618,Ипотека,2023-01-01,2999-12-31
1813428,Автокредит,2023-01-01,2999-12-31
1166693,Ипотека,2023-01-01,2999-12-31
1940311,Кредит наличными со страховкой,2023-01-01,2999-12-31
1379949,Кредит наличными,2023-01-01,2999-12-31
1804539,Кредит наличными,2023-01-01,2999-12-31
1817766,Автокредит,2023-01-01,2999-12-31
