deal_rk,deal_num,deal_name,deal_sum,client_rk,account_rk,agreement_rk,deal_start_date,department_rk,product_rk,deal_type_cd,effective_from_date,effective_to_date
3185626,783-582-733-433-965,Кредит наличными,1732176,201130,3123274,986994,2021-03-25,103,1333168,6,2023-03-15,2999-12-31
7454915,920-936-636-101-403,Кредит наличными со страховкой,2866001,190714,3070539,877998,2020-03-30,54,1110419,5,2023-03-15,2999-12-31
2899562,644-791-430-673-218,Ипотека,5187270,240425,3689897,628018,2022-03-20,102,1329041,3,2023-03-15,2999-12-31
7850678,361-519-317-972-850,Ипотека,1253493,397604,3466423,586904,2022-03-20,47,1137076,5,2023-03-15,2999-12-31
2949276,822-170-898-259-772,Кредит наличными,697411,252854,3990925,549597,2020-03-30,83,1355452,3,2023-03-15,2999-12-31
7598809,202-915-947-649-641,Кредит наличными,4674589,321827,3254919,829604,2020-09-26,121,1689672,5,2023-03-15,2999-12-31
6952206,594-679-422-707-449,Автокредит,3662771,345355,3179984,855758,2020-09-26,20,1549464,8,2023-03-15,2999-12-31
5528950,890-643-494-604-504,Ипотека,2122663,472910,3955152,841073,2020-03-30,16,1956747,2,2023-03-15,2999-12-31
6103823,379-693-697-316-899,Кредит наличными,1718250,312913,3024703,838119,2020-03-30,71,1801077,8,2023-03-15,2999-12-31
4623563,333-778-537-404-361,Кредит наличными со страховкой,4389289,135374,3694319,583956,2021-03-25,42,1392400,1,2023-03-15,2999-12-31
5710539,736-846-544-259-255,Кредит наличными,639965,215081,3568896,617198,2022-03-20,21,1657070,2,2023-03-15,2999-12-31
5477944,257-141-775-816-140,Кредит наличными,1350709,101050,3006208,688601,2020-09-26,106,1288519,2,2023-03-15,2999-12-31
6478485,529-872-475-840-393,Ипотека,1585872,389751,3464975,672145,2021-03-25,35,1630940,8,2023-03-15,2999-12-31
4799620,876-881-832-303-979,Кредит наличными со страховкой,758568,171203,3658275,796609,2020-09-26,28,1327767,1,2023-03-15,2999-12-31
4307587,419-751-872-225-123,Автокредит,4886720,147290,3041897,824590,2022-03-20,54,1054899,1,2023-03-15,2999-12-31
5301572,186-216-793-353-357,Автокредит,2169849,135914,3096917,723061,2021-09-21,80,1122338,2,2023-03-15,2999-12-31
3763255,842-968-829-583-903,Кредит наличными со страховкой,5054540,238743,3392871,735515,2020-03-30,37,1945145,6,2023-03-15,2999-12-31
2970046,685-811-560-588-745,Кредит наличными,665680,159744,3430443,991567,2021-03-25,64,1245947,3,2023-03-15,2999-12-31
2032100,874-571-930-252-209,Ипотека,2248699,107316,3219148,591290,2021-09-21,12,1585619,3,2023-03-15,2999-12-31
2460060,819-241-179-774-121,Ипотека,2157051,276307,3264582,539574,2021-03-25,108,1827157,3,2023-03-15,2999-12-31
6857902,790-209-896-599-427,Автокредит,5510793,134478,3166533,871206,2020-09-26,76,1674584,8,2023-03-15,2999-12-31
3781134,465-422-407-870-152,Автокредит,4875552,398842,3224369,869090,2020-09-26,56,1560529,6,2023-03-15,2999-12-31
5857046,727-703-605-911-284,Ипотека,3779835,453416,3425966,665497,2021-09-21,41,1983854,2,2023-03-15,2999-12-31
2597563,501-924-381-199-111,Кредит наличными,3080054,116871,3444435,596996,2020-09-26,108,1060855,3,2023-03-15,2999-12-31
3365094,352-263-633-883-748,Автокредит,2691218,128311,3098268,944563,2020-09-26,105,1549455,6,2023-03-15,2999-12-31
2528856,447-289-601-194-738,Ипотека,2832930,241781,3340788,596794,2020-03-30,125,1873151,3,2023-03-15,2999-12-31
4718056,574-400-266-626-535,Ипотека,4968684,301421,3745314,928463,2020-03-30,119,1209356,1,2023-03-15,2999-12-31
2360750,936-996-205-347-153,Кредит наличными со страховкой,2068245,237647,3818821,697476,2020-03-30,86,1330426,3,2023-03-15,2999-12-31
6167923,786-994-833-693-480,Ипотека,972828,104079,3284844,899504,2020-03-30,70,1064258,8,2023-03-15,2999-12-31
4906035,549-310-119-824-916,Ипотека,4898127,108810,3002218,799032,2021-09-21,49,1122256,1,2023-03-15,2999-12-31
6548947,378-284-697-987-860,Кредит наличными со страховкой,4907247,111158,3484673,623451,2020-03-30,105,1889541,8,2023-03-15,2999-12-31
7983251,907-823-840-198-352,Кредит наличными со страховкой,2352398,264167,3592815,926143,2021-09-21,88,1442161,5,2023-03-15,2999-12-31
3999939,648-796-837-920-760,Автокредит,5514625,377071,3331041,891326,2022-03-20,126,1227548,6,2023-03-15,2999-12-31
2425064,841-324-454-648-121,Автокредит,4813635,265035,3506798,770823,2022-03-20,56,1891372,3,2023-03-15,2999-12-31
4530445,314-138-742-417-948,Кредит наличными со страховкой,5529907,195612,3994536,932582,2021-09-21,19,1159975,1,2023-03-15,2999-12-31
7877558,638-994-850-323-613,Кредит наличными,2333711,405420,3177140,904576,2020-09-26,85,1067835,5,2023-03-15,2999-12-31
5414724,254-306-452-555-979,Кредит наличными со страховкой,2727710,336015,3982361,701605,2021-09-21,125,1703655,2,2023-03-15,2999-12-31
7173182,229-322-322-819-983,Автокредит,3487836,211131,3353692,504448,2020-03-30,16,1846098,5,2023-03-15,2999-12-31
2495054,235-710-450-805-348,Ипотека,4279399,155089,3148034,685898,2021-03-25,76,1217964,3,2023-03-15,2999-12-31
2898845,728-646-377-797-528,Ипотека,2359958,330509,3557356,500755,2020-03-30,106,1207767,3,2023-03-15,2999-12-31
5939934,326-493-790-223-703,Ипотека,2907709,329071,3297156,801650,2021-09-21,98,1634862,2,2023-03-15,2999-12-31
4863143,576-181-357-490-661,Кредит наличными,5294200,272279,3137867,895792,2021-09-21,115,1486136,1,2023-03-15,2999-12-31
2208228,908-743-725-301-904,Кредит наличными со страховкой,3432769,424399,3913224,794865,2022-03-20,19,1452881,3,2023-03-15,2999-12-31
3960643,706-172-749-701-424,Кредит наличными,2708415,102287,3678483,830391,2021-09-21,32,1717649,6,2023-03-15,2999-12-31
7772855,935-259-745-411-360,Кредит наличными со страховкой,4696463,186337,3288158,501026,2021-09-21,36,1444951,5,2023-03-15,2999-12-31
8607069,694-439-814-910-753,Кредит наличными,4197942,490117,3682299,883739,2022-03-20,86,1949267,4,2023-03-15,2999-12-31
5426189,629-154-702-519-921,Автокредит,1739663,436184,3016556,981827,2020-09-26,31,1968008,2,2023-03-15,2999-12-31
7926988,963-687-508-899-673,Ипотека,2661351,111290,3929035,700356,2022-03-20,45,1847906,5,2023-03-15,2999-12-31
4350302,666-107-214-301-745,Автокредит,742581,157807,3610464,830454,2021-09-21,89,1607308,1,2023-03-15,2999-12-31
8464515,240-118-223-239-864,Кредит наличными со страховкой,820476,335161,3614600,991473,2020-03-30,88,1994174,4,2023-03-15,2999-12-31
4343819,672-517-166-614-845,Кредит наличными,3385841,278742,3408529,702975,2022-03-20,116,1888796,1,2023-03-15,2999-12-31
7386044,989-968-475-787-211,Ипотека,5509306,103860,3457078,656704,2022-03-20,53,1092237,5,2023-03-15,2999-12-31
8975110,945-751-381-411-406,Автокредит,5492618,221325,3741522,964800,2021-09-21,121,1633994,4,2023-03-15,2999-12-31
2181034,984-264-505-502-448,Ипотека,4223492,195607,3344838,933480,2020-03-30,48,1184309,3,2023-03-15,2999-12-31
3001128,531-303-928-221-663,Ипотека,4836151,479552,3602665,807354,2022-03-20,106,1998188,6,2023-03-15,2999-12-31
5011245,662-107-416-566-962,Кредит наличными,4224274,427609,3585678,501944,2021-03-25,77,1079744,2,2023-03-15,2999-12-31
5538851,879-179-100-596-557,Кредит наличными со страховкой,3901447,100048,3478701,514950,2022-03-20,68,1594650,2,2023-03-15,2999-12-31
6314188,557-180-957-552-350,Автокредит,3607727,297623,3174746,511268,2020-03-30,106,1664197,8,2023-03-15,2999-12-31
8919876,722-700-243-590-956,Автокредит,4385694,427439,3881221,848045,2022-03-20,71,1220134,4,2023-03-15,2999-12-31
3779183,132-552-265-763-619,Кредит наличными,2033899,130360,3951150,534765,2020-09-26,125,1154427,6,2023-03-15,2999-12-31
5897055,291-615-618-273-313,Автокредит,1279521,471608,3449815,839912,2020-03-30,108,1098729,2,2023-03-15,2999-12-31
7348036,562-903-882-763-322,Автокредит,4973373,155583,3363081,870120,2020-03-30,49,1609317,5,2023-03-15,2999-12-31
8303594,438-653-661-736-863,Кредит наличными,860364,221253,3554420,784212,2020-09-26,118,1642118,4,2023-03-15,2999-12-31
4467343,496-776-997-303-410,Кредит наличными,1175816,438320,3886769,834591,2020-09-26,44,1675968,1,2023-03-15,2999-12-31
2133494,868-435-832-391-284,Кредит наличными,5514835,419284,3547830,509643,2021-03-25,10,1645442,3,2023-03-15,2999-12-31
3307314,397-377-727-394-409,Автокредит,3609251,157241,3245138,698880,2020-03-30,88,1631931,6,2023-03-15,2999-12-31
4971363,557-739-899-788-366,Ипотека,2282116,357560,3724994,807164,2020-03-30,124,1312918,1,2023-03-15,2999-12-31
6867602,691-933-980-125-487,Автокредит,5458290,497776,3260776,561812,2021-03-25,117,1801313,8,2023-03-15,2999-12-31
5675440,684-139-211-908-192,Ипотека,733039,373441,3287210,800314,2020-03-30,94,1957517,2,2023-03-15,2999-12-31
7742549,932-938-540-999-621,Кредит наличными,3661749,298036,3513469,793990,2021-03-25,11,1285603,5,2023-03-15,2999-12-31
6755733,963-177-465-849-257,Автокредит,640812,299998,3818778,794162,2020-09-26,117,1803173,8,2023-03-15,2999-12-31
3105867,912-672-369-665-368,Автокредит,4442020,487226,3778135,696203,2021-03-25,101,1844523,6,2023-03-15,2999-12-31
4073405,752-189-915-591-438,Автокредит,3999711,187433,3010904,626600,2020-09-26,111,1384836,1,2023-03-15,2999-12-31
4473387,905-835-238-417-976,Кредит наличными,1773500,377714,3210862,859151,2021-09-21,84,1470223,1,2023-03-15,2999-12-31
6499432,231-681-193-975-620,Автокредит,3297309,297649,3484203,535932,2020-03-30,17,1795140,8,2023-03-15,2999-12-31
7985837,359-419-987-779-664,Кредит наличными,1535630,408211,3516619,730402,2021-09-21,47,1402713,5,2023-03-15,2999-12-31
7684951,344-163-590-133-760,Автокредит,3569556,340779,3283960,640876,2020-03-30,113,1674677,5,2023-03-15,2999-12-31
3670639,660-489-290-591-388,Кредит наличными,918891,432202,3528750,672022,2022-03-20,72,1575020,6,2023-03-15,2999-12-31
7482423,440-483-946-919-813,Кредит наличными со страховкой,1499788,188489,3581066,804608,2020-03-30,113,1358673,5,2023-03-15,2999-12-31
4217099,300-447-440-922-910,Кредит наличными,4923636,434203,3458033,540162,2020-09-26,103,1542762,1,2023-03-15,2999-12-31
3312528,729-147-866-846-478,Кредит наличными со страховкой,4833721,112753,3650648,745886,2020-03-30,73,1777255,6,2023-03-15,2999-12-31
4038280,983-266-552-830-188,Автокредит,4471146,183578,3515945,993287,2020-03-30,121,1701307,1,2023-03-15,2999-12-31
3182790,488-495-754-408-543,Ипотека,1229971,137831,3295082,510319,2020-09-26,34,1271431,6,2023-03-15,2999-12-31
3094602,559-961-313-313-990,Кредит наличными,450172,373308,3457489,569321,2021-03-25,122,1491491,6,2023-03-15,2999-12-31
2010993,668-302-178-729-403,Кредит наличными,4961184,302041,3787187,996241,2022-03-20,36,1256772,3,2023-03-15,2999-12-31
8158707,815-926-118-798-976,Кредит наличными со страховкой,2440446,385598,3080235,947666,2021-09-21,62,1548062,4,2023-03-15,2999-12-31
4294388,505-470-599-372-375,Ипотека,5610669,274465,3346708,700120,2020-03-30,22,1596247,1,2023-03-15,2999-12-31
7638730,629-267-149-857-235,Кредит наличными со страховкой,5298263,118898,3505161,689128,2021-09-21,74,1958465,5,2023-03-15,2999-12-31
2654739,239-670-935-640-374,Ипотека,5503890,327648,3003978,597897,2021-09-21,90,1892468,3,2023-03-15,2999-12-31
5104727,972-679-686-498-940,Кредит наличными со страховкой,2616915,151894,3312602,814944,2022-03-20,40,1137523,2,2023-03-15,2999-12-31
4056837,711-286-642-217-328,Автокредит,1092195,221475,3069638,521470,2020-09-26,118,1760459,1,2023-03-15,2999-12-31
5922413,371-208-245-253-932,Автокредит,2814401,120595,3465400,956397,2021-09-21,98,1128232,2,2023-03-15,2999-12-31
2307491,998-792-667-818-547,Автокредит,2148819,241815,3950047,683444,2021-03-25,101,1648290,3,2023-03-15,2999-12-31
8204788,837-659-686-582-176,Кредит наличными со страховкой,4774591,466418,3476051,674362,2021-03-25,40,1198044,4,2023-03-15,2999-12-31
8948600,905-702-701-942-616,Ипотека,5168231,350504,3619772,755355,2020-03-30,72,1122743,4,2023-03-15,2999-12-31
2825864,320-179-332-131-716,Автокредит,5623600,404139,3257101,958839,2021-09-21,120,1124206,3,2023-03-15,2999-12-31
7449478,252-889-871-245-640,Автокредит,4044056,319488,3295662,744109,2021-09-21,73,1850545,5,2023-03-15,2999-12-31
6995299,737-258-710-417-524,Кредит наличными,4322736,142990,3716041,813829,2020-03-30,21,1553947,8,2023-03-15,2999-12-31
6272578,378-422-494-593-230,Автокредит,3095087,464365,3962737,749622,2022-03-20,37,1649712,8,2023-03-15,2999-12-31
8881873,136-822-695-961-611,Кредит наличными со страховкой,1499128,499350,3841830,743574,2021-03-25,73,1373300,4,2023-03-15,2999-12-31
4765650,493-468-208-442-478,Автокредит,4419818,244392,3392727,700773,2022-03-20,79,1702924,1,2023-03-15,2999-12-31
6075876,320-366-720-901-250,Кредит наличными,4467025,106770,3347855,901868,2020-09-26,104,1301059,8,2023-03-15,2999-12-31
8973686,617-676-771-433-459,Автокредит,4260334,283223,3103854,869295,2020-03-30,112,1262607,4,2023-03-15,2999-12-31
7123883,449-565-697-617-751,Ипотека,4866649,346704,3453323,619282,2020-03-30,94,1462623,5,2023-03-15,2999-12-31
4463105,381-244-816-433-483,Автокредит,2976457,307639,3367046,750091,2020-03-30,83,1720418,1,2023-03-15,2999-12-31
6344179,343-624-385-880-798,Кредит наличными со страховкой,4446695,233508,3617315,695446,2021-09-21,48,1179140,8,2023-03-15,2999-12-31
2126195,774-837-917-415-845,Автокредит,2107203,485130,3975150,530436,2020-03-30,116,1815502,3,2023-03-15,2999-12-31
7192654,564-215-978-909-645,Кредит наличными со страховкой,586657,307892,3330022,814369,2021-03-25,75,1218470,5,2023-03-15,2999-12-31
6352043,267-399-579-862-451,Кредит наличными,2901452,339181,3111196,788387,2021-09-21,68,1334683,8,2023-03-15,2999-12-31
4380427,922-774-336-454-959,Кредит наличными,3733426,362213,3515011,712539,2021-09-21,73,1820871,1,2023-03-15,2999-12-31
6439735,879-106-310-914-791,Кредит наличными,482389,251132,3110493,790996,2021-03-25,113,1944261,8,2023-03-15,2999-12-31
6761141,579-711-872-228-535,Автокредит,5388060,109578,3888038,934777,2021-03-25,29,1456738,8,2023-03-15,2999-12-31
3825408,392-679-337-394-756,Автокредит,2342749,236998,3105361,704978,2021-09-21,74,1259013,6,2023-03-15,2999-12-31
7610838,407-941-500-427-168,Ипотека,3909007,348549,3137863,704912,2021-03-25,98,1366864,5,2023-03-15,2999-12-31
4964384,879-822-434-839-750,Автокредит,717840,390748,3337379,688596,2020-09-26,88,1878764,1,2023-03-15,2999-12-31
8785284,766-699-812-790-665,Кредит наличными со страховкой,4080239,294506,3514857,921345,2020-09-26,83,1037812,4,2023-03-15,2999-12-31
7433919,834-819-584-704-354,Автокредит,4482238,345743,3823771,640298,2022-03-20,104,1188385,5,2023-03-15,2999-12-31
7377269,210-101-915-565-520,Автокредит,2366261,299690,3060535,974740,2021-09-21,108,1824232,5,2023-03-15,2999-12-31
4488114,955-302-894-945-842,Автокредит,2929539,423963,3925919,681268,2020-09-26,25,1705266,1,2023-03-15,2999-12-31
8206775,465-198-899-355-169,Ипотека,1276576,432696,3600291,544721,2020-09-26,21,1733652,4,2023-03-15,2999-12-31
5934016,412-477-964-962-579,Кредит наличными,1453304,254448,3422062,613202,2021-09-21,51,1887437,2,2023-03-15,2999-12-31
5660123,109-506-640-851-326,Ипотека,747250,207110,3815192,849498,2020-03-30,75,1122156,2,2023-03-15,2999-12-31
5632779,276-469-621-773-194,Автокредит,5661752,351428,3356718,956562,2021-03-25,110,1972059,2,2023-03-15,2999-12-31
7039908,727-886-827-653-902,Ипотека,1071921,374307,3213714,772013,2021-03-25,125,1905838,5,2023-03-15,2999-12-31
5915166,236-962-772-633-452,Кредит наличными со страховкой,1945267,198950,3448442,857246,2021-09-21,96,1649157,2,2023-03-15,2999-12-31
2770839,158-197-643-163-190,Ипотека,713247,331484,3370282,854700,2021-09-21,74,1211489,3,2023-03-15,2999-12-31
5685001,819-135-732-537-735,Ипотека,4156172,490831,3706492,790107,2022-03-20,12,1892328,2,2023-03-15,2999-12-31
8416196,448-145-819-513-493,Автокредит,5119965,135513,3644407,918382,2020-09-26,105,1036024,4,2023-03-15,2999-12-31
5935667,686-891-259-614-289,Автокредит,5130662,492614,3101009,543653,2021-03-25,79,1058222,2,2023-03-15,2999-12-31
4836026,974-337-378-553-384,Кредит наличными со страховкой,4986072,198240,3368931,627050,2020-09-26,106,1656106,1,2023-03-15,2999-12-31
4171415,100-511-489-698-184,Кредит наличными со страховкой,759361,359529,3658860,529015,2022-03-20,31,1779573,1,2023-03-15,2999-12-31
5577152,114-996-665-119-449,Кредит наличными,4077958,409848,3828925,821745,2021-09-21,46,1575021,2,2023-03-15,2999-12-31
3928555,342-525-285-422-995,Автокредит,5213567,104442,3935104,637698,2022-03-20,104,1633538,6,2023-03-15,2999-12-31
7513280,400-206-432-847-808,Автокредит,633264,362436,3707726,769890,2021-03-25,92,1770089,5,2023-03-15,2999-12-31
5579673,481-504-670-963-580,Кредит наличными со страховкой,2220502,429233,3631988,652784,2022-03-20,91,1140814,2,2023-03-15,2999-12-31
2301670,239-229-175-780-930,Автокредит,2574026,107521,3485121,915201,2021-03-25,124,1982477,3,2023-03-15,2999-12-31
4890788,582-527-778-222-879,Автокредит,5488675,242034,3924786,751713,2022-03-20,45,1223893,1,2023-03-15,2999-12-31
3423568,653-278-885-854-819,Ипотека,3312740,140836,3468914,986166,2021-03-25,59,1247028,6,2023-03-15,2999-12-31
5438969,194-953-487-698-720,Кредит наличными,3532290,487922,3059270,751811,2021-03-25,107,1693842,2,2023-03-15,2999-12-31
8566851,730-232-196-374-466,Ипотека,2865962,453105,3975364,934485,2021-09-21,107,1251862,4,2023-03-15,2999-12-31
6461283,239-450-353-844-199,Автокредит,4728458,341184,3154618,518950,2021-09-21,69,1847674,8,2023-03-15,2999-12-31
2271935,183-118-387-265-575,Автокредит,1555848,174201,3922909,744675,2022-03-20,109,1296064,3,2023-03-15,2999-12-31
4681398,328-633-300-872-564,Кредит наличными со страховкой,2641118,320612,3777646,555026,2021-03-25,74,1505530,1,2023-03-15,2999-12-31
8090680,696-205-594-634-785,Автокредит,4197957,121996,3058930,859619,2020-09-26,102,1762586,4,2023-03-15,2999-12-31
8508239,488-203-249-889-942,Автокредит,3321272,306946,3705596,775369,2020-03-30,123,1159302,4,2023-03-15,2999-12-31
7224406,488-256-889-669-285,Кредит наличными со страховкой,751964,329895,3251804,654568,2021-03-25,99,1038577,5,2023-03-15,2999-12-31
8589395,389-760-576-893-196,Кредит наличными со страховкой,1236998,297968,3384982,868930,2021-03-25,27,1656270,4,2023-03-15,2999-12-31
2979463,383-539-503-417-832,Кредит наличными,2138316,395540,3652237,922633,2021-09-21,62,1053048,3,2023-03-15,2999-12-31
4665913,408-680-459-226-493,Кредит наличными,4823922,426686,3112318,570214,2020-03-30,100,1466203,1,2023-03-15,2999-12-31
3579958,732-999-618-486-492,Кредит наличными со страховкой,5608829,485300,3837233,882095,2022-03-20,126,1137660,6,2023-03-15,2999-12-31
3452845,948-650-111-893-283,Кредит наличными со страховкой,1031057,438925,3972354,970812,2020-09-26,59,1386025,6,2023-03-15,2999-12-31
3792165,480-253-448-970-473,Кредит наличными со страховкой,4969309,423521,3631779,578273,2022-03-20,128,1260087,6,2023-03-15,2999-12-31
2805395,519-780-605-958-568,Кредит наличными со страховкой,3171606,387188,3111736,522335,2022-03-20,94,1492898,3,2023-03-15,2999-12-31
6609525,966-689-370-284-165,Кредит наличными,4995996,282289,3981429,536419,2022-03-20,15,1478010,8,2023-03-15,2999-12-31
3285206,102-514-723-347-811,Кредит наличными,4198495,178226,3628565,834983,2020-03-30,28,1831420,6,2023-03-15,2999-12-31
8654370,123-608-967-166-439,Ипотека,624620,335698,3958658,948811,2021-03-25,66,1934118,4,2023-03-15,2999-12-31
3380692,439-776-242-422-164,Ипотека,3941721,397646,3987270,875948,2021-03-25,37,1807619,6,2023-03-15,2999-12-31
3285308,399-641-102-705-263,Ипотека,1861216,479001,3766788,794418,2020-09-26,49,1310377,6,2023-03-15,2999-12-31
6175573,269-616-362-237-996,Кредит наличными,4599440,188528,3279115,812826,2020-09-26,117,1137040,8,2023-03-15,2999-12-31
4403348,841-848-538-797-321,Ипотека,3657098,438856,3385680,506314,2022-03-20,61,1957943,1,2023-03-15,2999-12-31
2123515,548-669-966-149-418,Кредит наличными со страховкой,4775275,109809,3374771,909617,2022-03-20,81,1771529,3,2023-03-15,2999-12-31
4579418,487-543-654-359-240,Автокредит,1337670,262741,3168160,833146,2022-03-20,18,1056998,1,2023-03-15,2999-12-31
2809343,576-702-430-124-840,Кредит наличными со страховкой,1470297,307524,3457999,819281,2022-03-20,40,1033416,3,2023-03-15,2999-12-31
5619861,751-115-423-912-909,Кредит наличными,4908126,298856,3623663,651008,2021-09-21,128,1662996,2,2023-03-15,2999-12-31
6334570,104-110-674-567-665,Ипотека,4784327,414713,3406854,709893,2020-09-26,127,1605450,8,2023-03-15,2999-12-31
4355913,256-415-447-888-358,Ипотека,5251128,374239,3390273,593226,2021-03-25,119,1238697,1,2023-03-15,2999-12-31
5908338,837-321-118-822-864,Ипотека,1373639,243062,3944069,963888,2020-03-30,26,1883449,2,2023-03-15,2999-12-31
8403011,806-521-883-727-830,Ипотека,5664586,283674,3429265,680387,2021-03-25,80,1234481,4,2023-03-15,2999-12-31
5860456,912-356-460-588-887,Кредит наличными со страховкой,4139323,108733,3983349,940995,2020-03-30,80,1100799,2,2023-03-15,2999-12-31
4182887,304-870-612-575-698,Кредит наличными,2029648,252275,3914134,689544,2021-03-25,44,1165702,1,2023-03-15,2999-12-31
2133069,252-778-677-622-154,Ипотека,1139404,136438,3061456,926115,2020-09-26,125,1343082,3,2023-03-15,2999-12-31
8209794,948-119-771-256-479,Автокредит,2168598,499640,3869926,906674,2021-03-25,21,1543244,4,2023-03-15,2999-12-31
6757252,219-893-791-392-221,Кредит наличными со страховкой,3466725,132239,3735398,982692,2022-03-20,70,1854293,8,2023-03-15,2999-12-31
7415407,270-574-145-705-309,Кредит наличными,1257899,406854,3543385,586184,2021-09-21,118,1593297,5,2023-03-15,2999-12-31
3484643,155-416-967-859-529,Автокредит,4919235,378528,3322691,936742,2021-09-21,95,1761972,6,2023-03-15,2999-12-31
2487321,672-198-181-535-960,Кредит наличными,5560061,241708,3149326,863702,2022-03-20,28,1276182,3,2023-03-15,2999-12-31
7476202,549-304-808-127-288,Кредит наличными со страховкой,1101590,230338,3093229,605354,2021-09-21,122,1002007,5,2023-03-15,2999-12-31
8893151,115-162-480-398-410,Автокредит,4377791,465003,3048893,914820,2022-03-20,46,1603965,4,2023-03-15,2999-12-31
2806601,591-294-811-683-428,Кредит наличными,2833749,456001,3737454,518195,2021-09-21,49,1473564,3,2023-03-15,2999-12-31
6647933,118-145-991-808-107,Автокредит,2918361,408579,3189363,508773,2021-09-21,30,1062402,8,2023-03-15,2999-12-31
8715348,533-442-124-786-158,Кредит наличными со страховкой,2738783,240176,3954431,787181,2021-03-25,104,1316955,4,2023-03-15,2999-12-31
7232690,390-511-929-814-642,Кредит наличными со страховкой,3516419,281661,3199937,799364,2022-03-20,40,1919235,5,2023-03-15,2999-12-31
6974904,472-715-736-847-194,Ипотека,4728309,158693,3601425,829065,2021-09-21,12,1862496,8,2023-03-15,2999-12-31
8422062,646-353-534-180-593,Кредит наличными со страховкой,4566245,327655,3556043,612543,2022-03-20,99,1858595,4,2023-03-15,2999-12-31
8280747,758-387-645-542-899,Ипотека,626160,289999,3170517,902088,2021-09-21,112,1832281,4,2023-03-15,2999-12-31
6456431,484-160-755-863-824,Автокредит,5253132,461250,3176110,829741,2020-03-30,55,1418814,8,2023-03-15,2999-12-31
3817578,378-325-774-905-484,Автокредит,2267949,390080,3179238,724101,2021-03-25,85,1886197,6,2023-03-15,2999-12-31
4820360,750-563-650-129-399,Кредит наличными,5443334,390158,3158221,815294,2021-03-25,77,1963320,1,2023-03-15,2999-12-31
3024205,372-623-233-882-160,Кредит наличными,2097770,284151,3005673,948606,2020-09-26,12,1086290,6,2023-03-15,2999-12-31
3416166,442-350-825-212-402,Ипотека,1174074,324492,3626720,580471,2021-09-21,81,1979096,6,2023-03-15,2999-12-31
2870648,823-951-442-460-540,Кредит наличными со страховкой,574432,490516,3977290,834446,2021-09-21,79,1894164,3,2023-03-15,2999-12-31
8822417,474-532-575-487-620,Ипотека,5186743,241366,3203883,936845,2021-03-25,100,1860226,4,2023-03-15,2999-12-31
5385488,681-160-429-142-164,Ипотека,3463199,415755,3460833,732144,2021-03-25,100,1511831,2,2023-03-15,2999-12-31
7512791,645-820-539-216-722,Кредит наличными со страховкой,5130194,378649,3939805,513440,2020-09-26,65,1882363,5,2023-03-15,2999-12-31
3200093,826-315-819-503-293,Ипотека,2975798,191236,3016625,995168,2020-03-30,83,1541196,6,2023-03-15,2999-12-31
6905887,916-263-168-490-987,Кредит наличными,3115113,346841,3258989,664013,2021-03-25,33,1518962,8,2023-03-15,2999-12-31
